"サービス","Relational Database Service($)","Transfer Family($)","Tax($)","EC2 インスタンス($)","VPC($)","EC2 その他($)","Config($)","GuardDuty($)","Security Hub($)","Inspector($)","Elastic Container Service($)","Identity and Access Management Access Analyzer($)","S3($)","Key Management Service($)","Secrets Manager($)","CloudWatch($)","Step Functions($)","Systems Manager($)","Route 53($)","EC2 Container Registry (ECR)($)","CloudWatch Events($)","Direct Connect($)","Payment Cryptography($)","Lambda($)","Location Service($)","SQS($)","CloudFormation($)","CloudTrail($)","Glue($)","SNS($)","X-Ray($)","合計コスト($)"
"サービス の合計","13305.7573961297","3324.3126628127","1971.21","1261.1329499723","802.7348934435","319.156540323","146.313","126.5112235186","106.771","104.492288043","56.8144616037","45.6","27.7502007342","23.9999997696","17.641360336","15.2101016238","12.6359950276","8.9404","3.0653852","2.7967100567","0.02751775","0.0138373877","0.012","0.0032933634","0.0025","2.88e-8","0","0","0","0","0","21682.9057171243"
"2025-09-01","2204.348991814","432.0832367082","301.49","133.3122772608","128.0199145915","46.3153509854","23.583","0","15.358","8.899889342","5.7568036186","2.8","2.1677869896","4.000000032","2.869900224","1.7875003613","1.107325","1.26317","0.5182092","0.4347820191","0.002473","0.0042907107","","0.0002902426","0","0","0","0","0","0","","3316.1231920998"
"2025-10-01","2277.5055414377","446.4752967849","314.18","161.8944","132.4132292597","47.8026357276","12.309","4.5456743352","14.676","15.161736165","5.9112990127","5.8","4.6099868065","3.999999936","2.8791849552","1.839515918","1.271525","1.57502","0.5049696","0.4347820813","0.002807","0.0007686649","0.00175","0.0003133832","0","0","","0","0","0","","3455.7954360679"
"2025-11-01","2204.5303353122","501.4179376334","318.09","173.0912648224","128.0211850917","48.2074388905","20.835","29.8719017905","17.009","20.4435283952","9.9146770904","6.4","6.9866004491","4.000000032","2.932250224","2.5616668962","2.060025","1.52496","0.5065664","0.4538097658","0.00421","0.0023740266","0.01025","0.0005323367","0","0","","0","0","0","","3498.8755141567"
"2025-12-01","2277.9982568901","669.671318081","355.29","273.1696993963","132.4124942264","59.8808921192","27.492","30.8587710683","19.842","21.1468665059","10.6566200097","10.6","4.5401522188","3.999999936","2.9552999552","2.9302416632","2.2861700276","1.57559","0.5196596","0.4793088496","0.004541","0.0017247149","","0.0006544054","0.0007","0.0000000288","","0","0","0","","3908.3129606964"
"2026-01-01","2280.299720232","669.7100688564","356.08","272.9735182464","130.2077734894","60.7899118663","31.872","30.6582724029","20.642","20.5618676349","12.5910687729","10.6","4.5203653601","3.999999936","3.0065649552","2.879875171","3.0287","1.57592","0.5091896","0.4924538357","0.006044","0.0021970462","","0.0007511511","0.00178","0","","0","0","0","0","3917.0100425565"
"2026-02-01","2061.0745504437","604.9548047488","326.08","246.6917902464","151.6602967848","56.160310734","30.222","30.5766039217","19.244","18.2784","11.9839930994","9.4","4.9253089101","3.9999998976","2.9981600224","3.2113016141","2.88225","1.42574","0.5067908","0.5015735052","0.00744275","0.0024822244","","0.0007518444","0.00002","0","","0","0","0","","3586.788571547"
