"サービス","Relational Database Service($)","Transfer Family($)","Tax($)","EC2 インスタンス($)","VPC($)","EC2 その他($)","S3($)","Elastic Load Balancing($)","Config($)","Key Management Service($)","Secrets Manager($)","Elastic Container Service($)","Systems Manager($)","CloudWatch($)","Step Functions($)","EC2 Container Registry (ECR)($)","Route 53($)","SNS($)","Lambda($)","CloudWatch Events($)","Payment Cryptography($)","Direct Connect($)","Location Service($)","SQS($)","Certificate Manager($)","CloudFormation($)","Glue($)","合計コスト($)"
"サービス の合計","13564.1536458859","3324.8869682879","2059.49","1834.8107439498","1068.5584391017","454.8121733122","145.3678879316","85.4748781468","37.716","23.9453018696","17.050595336","14.3285260147","9.20225","6.6292115667","4.0902492884","3.2796376045","0.5","0.0400504485","0.0271743029","0.0125322","0.012","0.0042652093","0.00135","7.143e-7","0","0","0","22654.3938811708"
"2025-09-01","2204.0096514015","432.0927817806","316.83","290.2498209472","158.1818138217","67.0116364901","1.4651219238","0.1215187349","4.02","3.9888889208","2.812975224","0.8791156478","1.52502","0.9000000438","0.1686749666","0.4941085557","0.5","0.0000656173","0.0015132994","0.000623","","0.000047551","0","0","0","0","0","3485.2533779262"
"2025-10-01","2277.5180500448","446.4750393148","326.46","263.140243037","171.9043599648","70.79637717","1.7757685804","17.9897073914","4.089","3.989247248","2.8097899552","0.6761133688","1.57502","1.2530544901","0.1144288168","0.4943098642","","0.0000538812","0.001425307","0.000481","0.002","0.0000412842","0","0.0000001739","","","0","3591.0645108926"
"2025-11-01","2204.5408032588","501.972727981","326.56","251.5785776964","166.2335582856","71.1581270785","34.4067245991","16.8563627983","5.967","4.000000032","2.855905224","1.817935482","1.52496","0.9000000438","1.0947884453","0.5439994671","","0.0013884412","0.0041355374","0.003104","0.01","0.0009031963","0","0","","","0","3592.0310015668"
"2025-12-01","2290.3533142032","669.6715720494","360.82","354.0694115072","174.3062708226","82.9037906279","3.4260329808","17.9355937551","4.224","3.973118216","2.8170899552","1.0655467334","1.57559","0.9020752886","0.34005","0.5710564091","","0","0.0026837566","0.000742","","0.0021415299","0.00029","0","","","0","3968.960369835"
"2026-01-01","2363.9182171921","669.7201442755","374.71","354.5079088829","210.500623865","83.8031443399","31.5690313114","17.9825028542","3.966","3.999999936","2.8156899552","0.8494659334","1.57592","0.9188861736","0.3269581546","0.5880816496","","0.0000662853","0.0028497139","0.000786","","0.0010316524","0.00106","0.0000001734","","","0","4121.7583683484"
"2026-02-01","2223.8136097855","604.9547028866","354.11","321.2647818791","187.431812342","79.1390976058","72.7252085361","14.5891926129","15.45","3.9940475168","2.9391450224","9.0403488493","1.42574","1.7551955268","2.0453489051","0.5880816588","","0.0384762235","0.0145666886","0.0067962","","0.0000999955","","0.000000367","","","0","3895.3262526018"
